Journal Code,Journal Group code,Journal Family Code,Journal Title,Status,Global Subject Category,Business Unit,ISSN code,ISBN,JPS Code,E-Journal Code,Pub Source,Product Line(E),Product Line(J),Subject Code 1,Subject Code 2,Global Subject Category.1,New Office,Ownership,Owned by,Society,Soc. Acronym,Editor Name
JMWH,JMWH,,Journal of Midwifery & Women's Health,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JMW3,JMWH,,Journal of Midwifery & Women's Health              (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JNC,JNC,,Journal of Neurochemistry,O-Obsolete media,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
JNC2,JNC,,Journal of Neurochemistry (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
JNE,JNE,,Journal of Neuroendocrinology,O-Obsolete media,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JNE2,JNE,,Journal of Neuroendocrinology (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JNM,JNM,,"International Journal of Numerical Modelling:      Electronic Networks, Devices and Fields",O-Obsolete media,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JNM2,JNM,,"International Journal of Numerical Modelling:      Electronic Networks, Devices and Fields",P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JNP,JNP,,Journal of Neuropsychology,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JNP3,JNP,,Journal of Neuropsychology (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JNR,JNR,,Journal of Neuroscience Research,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JNR2,JNR,,Journal of Neuroscience Research                   (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JNS,JNS,,Journal of the Peripheral Nervous System,O-Obsolete media,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JNS2,JNS,,Journal of the Peripheral Nervous System          (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JNU,JNU,,Journal of Nursing Scholarship,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JNU2,JNU,,Journal of Nursing Scholarship (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JOA,JOA,,Journal of Anatomy,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
JOAC,JOAC,,Journal of Agrarian Change,O-Obsolete media,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
JOAE,JOAE,,Journal of Architectural Education,S-Sold/InterCo Transfr,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JOAP,JOAP,,Journal of Analytical Psychology,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JOAR,JOAR,,Journal of Accounting Research,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JOA2,JOA,,Journal of Anatomy (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
JOA3,JOA3,,Journal of Arrhythmia,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JOA8,JOAP,,Journal of Analytical Psychology,I-Info Only,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JOB,JOB,JOB,Journal of Organizational Behavior,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
JOBM,JOBM,,Journal of Basic Microbiology                     Alpha code for WIS - Info Only - see journal 2248,I-Info Only,STMS Life Sciences,Life Sci,,,,,,,,,,,,-,,,,
JOB2,JOB,JOB,Journal of Organizational Behavior                 (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
JOC,JOC,,International Journal of Climatology,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JOCA,JOCA,,Journal of Consumer Affairs,Z-To be Obsolete media,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JOCB,JOCB,,The Journal of Creative Behavior,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JOCC,JOCC,,Journal of College Counseling,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JOCD,JOCD,,Journal of Cosmetic Dermatology,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JOCN,JOCN,,Journal of Clinical Nursing,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JOCP,JOCP,,Journal of Chinese Philosophy,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JOCS,JOCS,,Journal of Cardiac Surgery,O-Obsolete media,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JOC2,JOC,,International Journal of Climatology              (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JOC3,JOCA,,Journal of Consumer Affairs (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JOC4,JOCP,,Journal of Chinese Philosophy (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JOC5,JOCS,,Journal of Cardiac Surgery (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JOC6,JOCN,,Journal of Clinical Nursing (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JOC7,JOCD,,Journal of Cosmetic Dermatology (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JOC8,JOCC,,Journal of College Counseling (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JOC9,JOCB,,The Journal of Creative Behavior (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JOE,JOE,JOE,Global Business and Organizational Excellence,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
JOEC,JOEC,,Journal of Employment Counseling,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JOES,JOES,,Journal of Economic Surveys,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
JOE2,JOE,JOE,Global Business and Organizational Excellence,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
JOE3,JOES,,Journal of Economic Surveys (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
JOE4,JOEC,,Journal of Employment Counseling (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JOFI,JOFI,,The Journal of Finance,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JOFO,JOFO,,Journal of Field Ornithology,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
JOFT,JOFT,,Journal of Family Therapy,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JOF3,JOFI,,The Journal of Finance (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JOF4,JOFO,,Journal of Field Ornithology (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
JOG,JOG,,Journal of Obstetrics and Gynaecology Research,O-Obsolete media,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JOGN,JOGN,JOGN,"Journal of Obstetric, Gynecologic, & Neonatal      Nursing",S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JOG2,JOG,,Journal of Obstetrics and Gynaecology Research    (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JOG3,JOGN,JOGN,"Journal of Obstetric, Gynecologic, & Neonatal     Nursing (Electronic)",S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JOHC,JOHC,,The Journal of Humanistic Counseling,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JOHS,JOHS,,Journal of Historical Sociology,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
JOH2,JOH2,JOH2,Journal of Occupational Health,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JOH3,JOHS,,Journal of Historical Sociology,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
JOH4,JOHC,,Journal of Humanistic Counseling (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JOIC,JOIC,,Journal of Interventional Cardiology,U-Outsourced,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JOID,JOID,,Journal of Interior Design,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JOIE,JOIE,,The Journal of Industrial Economics,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,J-Joint Owned,,,,
JOIM,JOIM,,Journal of Internal Medicine,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JOIR,JOIR,,Journal of Industrial Relations,S-Sold/InterCo Transfr,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JOI3,JOIC,,Journal of Interventional Cardiology (Electronic),U-Outsourced,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JOI4,JOIE,,The Journal of Industrial Economics (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,J-Joint Owned,,,,
JOI5,JOIM,,Journal of Internal Medicine (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JOI6,JOID,,Journal of Interior Design (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JOLA,JOLA,,Journal of Linguistic Anthropology,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JOLS,JOLS,,Journal of Law and Society,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JOL3,JOLS,,Journal of Law and Society (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JOL4,JOLA,,Journal of Linguistic Anthropology (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JOMF,JOMF,JOMF,Journal of Marriage and Family,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JOMS,JOMS,,Journal of Management Studies,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,J-Joint Owned,,,,
JOM3,JOMF,JOMF,Journal of Marriage and Family (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JOM4,JOMS,,Journal of Management Studies (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,J-Joint Owned,,,,
JON,JON,,Journal of Neuroimaging,O-Obsolete media,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JONM,JONM,,Journal of Nursing Management,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JON2,JON,,Journal of Neuroimaging (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JON3,JONM,,Journal of Nursing Management (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JOOM,JOOM,JOOM,Journal of Operations Management,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JOOP,JOOP,,Journal of Occupational and Organizational         Psychology,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JOOR,JOOR,,Journal of Oral Rehabilitation,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JOO2,JOOM,JOOM,Journal of Operations Management,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JOO3,JOOR,,Journal of Oral Rehabilitation (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JOO4,JOOP,,Journal of Occupational and Organizational        Psychology (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JOP,JOP,,Journal of Oral Pathology & Medicine,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JOPE,JOPE,,Journal of Philosophy of Education,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JOPO,JOPO,,The Journal of Politics,S-Sold/InterCo Transfr,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JOPP,JOPP,,The Journal of Political Philosophy,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
JOPR,JOPR,,Journal of Prosthodontics,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JOPY,JOPY,,Journal of Personality,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
JOP2,JOP,,Journal of Oral Pathology & Medicine (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JOP3,JOPE,,Journal of Philosophy of Education (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JOP4,JOPO,,The Journal of Politics,S-Sold/InterCo Transfr,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JOR,JOR,,Journal of Orthopaedic Research ©,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
JORA,JORA,,Journal of Research On Adolescence,O-Obsolete media,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JORC,JORC,,Journal of Renal Care,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JORE,JORE,,Journal of Religious Ethics,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JORH,JORH,,Journal of Religious History,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JORI,JORI,JORI,Journal of Risk and Insurance,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JORS,JORS,,Journal of Regional Science,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
JOR2,JOR,,Journal of Orthopaedic Research ©                  (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
JOR3,JORC,,Journal of Renal Care (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JOS,JOS,,Journal of Scheduling,S-Sold/InterCo Transfr,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JOSH,JOSH,,Journal of School Health,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JOSI,JOSI,JOSI,Journal of Social Issues,O-Obsolete media,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JOSL,JOSL,,Journal of Sociolinguistics,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
JOSP,JOSP,,Journal of Social Philosophy,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
JOSS,JOSS,,Journal of Sensory Studies,O-Obsolete media,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JOS2,JOS,,Journal of Scheduling (Electronic),S-Sold/InterCo Transfr,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JOS3,JOSS,,Journal of Sensory Studies (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JPA,JPA,,Journal of Psychoeducational Assessment,A-Abandoned,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,-,,,,
JPC,JPC,,Journal of Paediatrics and Child Health,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JPCU,JPCU,,The Journal of Popular Culture,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
JPC2,JPC,,Journal of Paediatrics and Child Health           (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JPC3,JPCU,,The Journal of Popular Culture,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
JPD4,JOPR,,Journal of Prosthodontics (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JPE,JPE,,Journal of Applied Ecology,O-Obsolete media,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
JPEN,JPEN,JPEN,Journal of Parenteral and Enteral Nutrition,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JPER,JPER,,Journal of Periodontology,P-Current publication,STMS Other,,,,,,,,,,,,,N-Society Owned,,,,
JPET,JPET,,Journal of Public Economic Theory,O-Obsolete media,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
JPE2,JPE,,Journal of Applied Ecology (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
JPE3,JPET,,Journal of Public Economic Theory (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
JPE4,JOPY,,Journal of Personality (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
JPE5,JPEN,JPEN,Journal of Parenteral and Enteral Nutrition,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JPE6,JPER,,Journal of Periodontology,P-Current publication,STMS Other,,,,,,,,,,,,,N-Society Owned,,,,
JPG,JPG,,Journal of Petroleum Geology,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
JPG2,JPG,,Journal of Petroleum Geology (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
JPH,JPH,,Journal of Phytopathology,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JPHD,JPHD,,Journal of Public Health Dentistry,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JPHM,JPHM,,Journal of Pharmaceutical Medicine,S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JPHP,JPHP,,Journal of Pharmacy and Pharmacology,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JPHS,JPHS,,Journal of Pharmaceutical Health Services Research,O-Obsolete media,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JPH2,JPH,,Journal of Phytopathology (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JPH3,JPHD,,Journal of Public Health Dentistry (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JPH4,JPHS,,Journal of Pharmaceutical Health Services Research (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JPH5,JPHP,,Journal of Pharmacy and Pharmacology,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
JPI,JPI,,Journal of Pineal Research,O-Obsolete media,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JPIM,JPIM,,The Journal of Product Innovation Management,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JPI2,JPI,,Journal of Pineal Research (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JPI3,JPIM,,The Journal of Product Innovation Management      (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
JPLN,JPLN,,Journal of Plant Nutrition and Soil Science       Alpha code for WIS - Info Only - see journal 2045,I-Info Only,STMS Life Sciences,Life Sci,,,,,,,,,,,,-,,,,
JPM,JPM,,Journal of Psychiatric & Mental Health Nursing,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JPMS,JPMS,,Journal of Popular Music Studies,S-Sold/InterCo Transfr,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
JPM2,JPM,,Journal of Psychiatric & Mental Health Nursing    (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
JPM3,JPMS,,Journal of Popular Music Studies (Electronic),S-Sold/InterCo Transfr,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
